Origem;Data_recebimento;Id_consumidor;Tipo_pessoa;Id_inad1;Id_inad2;Tipo_baixa;Contagem;Data_mov;Comando
0aa1883c6411f7873cb83dacb17b0afc;20200310;965ea34f5e8b83b2514500aad7ae8b09;F;3dd48ab31d016ffcbf3314df2b3cb9ce;74888d4e8f1b989420edfb5b19659c77;12;1;20160726.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200402;965ea34f5e8b83b2514500aad7ae8b09;F;3dd48ab31d016ffcbf3314df2b3cb9ce;74888d4e8f1b989420edfb5b19659c77;12;1;20160726.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200428;965ea34f5e8b83b2514500aad7ae8b09;F;3dd48ab31d016ffcbf3314df2b3cb9ce;74888d4e8f1b989420edfb5b19659c77;12;1;20160726.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20210727;965ea34f5e8b83b2514500aad7ae8b09;F;3dd48ab31d016ffcbf3314df2b3cb9ce;74888d4e8f1b989420edfb5b19659c77;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200303;965ea34f5e8b83b2514500aad7ae8b09;F;3dd48ab31d016ffcbf3314df2b3cb9ce;74888d4e8f1b989420edfb5b19659c77;12;1;20160726.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200327;965ea34f5e8b83b2514500aad7ae8b09;F;3dd48ab31d016ffcbf3314df2b3cb9ce;74888d4e8f1b989420edfb5b19659c77;12;1;20160726.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;7ce1e618b9f59bcb4a82bc0f23054d77;F;182be0c5cdcd5072bb1864cdee4d3d6e;856b503e276cc491e7e6e0ac1b9f4b17;12;19;20180704.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;53840294417fa6931f0fe3085e14cf3e;F;3416a75f4cea9109507cacd8e2f2aefc;d554f7bb7be44a7267068a7df88ddd20;12;26;20200103.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210910;213c555f42d5337e2a9be673147dd76f;F;2823f4797102ce1a1aec05359cc16dd9;2000f6325dfc4fc3201fc45ed01c7a5d;12;1;20210909.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210722;213c555f42d5337e2a9be673147dd76f;F;2823f4797102ce1a1aec05359cc16dd9;2000f6325dfc4fc3201fc45ed01c7a5d;12;1;20210721.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210724;213c555f42d5337e2a9be673147dd76f;F;2823f4797102ce1a1aec05359cc16dd9;2000f6325dfc4fc3201fc45ed01c7a5d;12;1;20210723.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210821;213c555f42d5337e2a9be673147dd76f;F;2823f4797102ce1a1aec05359cc16dd9;2000f6325dfc4fc3201fc45ed01c7a5d;12;1;20210820.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210730;213c555f42d5337e2a9be673147dd76f;F;2823f4797102ce1a1aec05359cc16dd9;2000f6325dfc4fc3201fc45ed01c7a5d;12;1;20210729.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210810;213c555f42d5337e2a9be673147dd76f;F;2823f4797102ce1a1aec05359cc16dd9;2000f6325dfc4fc3201fc45ed01c7a5d;12;1;20210809.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210904;213c555f42d5337e2a9be673147dd76f;F;2823f4797102ce1a1aec05359cc16dd9;2000f6325dfc4fc3201fc45ed01c7a5d;12;1;20210903.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;835e0cec29f261f0957fabc2aa31c018;F;c9e1074f5b3f9fc8ea15d152add07294;299a23a2291e2126b91d54f3601ec162;13;1;20180918.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20201225;533b9f2acbd8e309cd5c24369efaeac7;F;182be0c5cdcd5072bb1864cdee4d3d6e;6add07cf50424b14fdf649da87843d01;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;533b9f2acbd8e309cd5c24369efaeac7;F;182be0c5cdcd5072bb1864cdee4d3d6e;6add07cf50424b14fdf649da87843d01;12;1;20161202.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;8e865801c59cdded1ab3fe719aae3dd7;F;3416a75f4cea9109507cacd8e2f2aefc;c042f4db68f23406c6cecf84a7ebb0fe;12;9;20191126.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200307;8e865801c59cdded1ab3fe719aae3dd7;F;3416a75f4cea9109507cacd8e2f2aefc;c042f4db68f23406c6cecf84a7ebb0fe;12;1;20200305.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220127;4c5d317d8d64631dc64922753102de3f;F;c4ca4238a0b923820dcc509a6f75849b;3d779cae2d46cf6a8a99a35ba4167977;12;1;20220125.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20220212;4c5d317d8d64631dc64922753102de3f;F;c4ca4238a0b923820dcc509a6f75849b;3d779cae2d46cf6a8a99a35ba4167977;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200221;83c3b872ae95fbebe7b2f76ab68cc330;F;182be0c5cdcd5072bb1864cdee4d3d6e;976abf49974d4686f87192efa0513ae0;12;2;20150914.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200314;83c3b872ae95fbebe7b2f76ab68cc330;F;182be0c5cdcd5072bb1864cdee4d3d6e;976abf49974d4686f87192efa0513ae0;12;1;20150914.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;83c3b872ae95fbebe7b2f76ab68cc330;F;182be0c5cdcd5072bb1864cdee4d3d6e;976abf49974d4686f87192efa0513ae0;12;8;20150914.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200310;83c3b872ae95fbebe7b2f76ab68cc330;F;182be0c5cdcd5072bb1864cdee4d3d6e;976abf49974d4686f87192efa0513ae0;12;1;20150914.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200516;83c3b872ae95fbebe7b2f76ab68cc330;F;182be0c5cdcd5072bb1864cdee4d3d6e;976abf49974d4686f87192efa0513ae0;12;1;20150914.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200311;83c3b872ae95fbebe7b2f76ab68cc330;F;182be0c5cdcd5072bb1864cdee4d3d6e;976abf49974d4686f87192efa0513ae0;12;1;20150914.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200212;83c3b872ae95fbebe7b2f76ab68cc330;F;182be0c5cdcd5072bb1864cdee4d3d6e;976abf49974d4686f87192efa0513ae0;12;1;20150914.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200915;83c3b872ae95fbebe7b2f76ab68cc330;F;182be0c5cdcd5072bb1864cdee4d3d6e;976abf49974d4686f87192efa0513ae0;12;1;99999999.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;7e0b5d1f7ebab608f24babc601182a60;F;3dd48ab31d016ffcbf3314df2b3cb9ce;7c5845cea683556d813ebd657e8cca01;12;1;20190311.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200731;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20200715.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200128;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;6;20160614.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210729;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20210713.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210129;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20210107.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20210123;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20210107.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210427;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20210107.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20210615;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;2;20210107.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20210609;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20210107.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20210602;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20210107.0;50.0
0aa1883c6411f7873cb83dacb17b0afc;20201021;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20201005.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200801;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20200716.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20210803;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;2;20210716.0;10.0
0aa1883c6411f7873cb83dacb17b0afc;20200820;27bcb449a34eb12948360bfadbd22664;F;539fd53b59e3bb12d203f45a912eeaf2;c2964caac096f26db222cb325aa267cb;12;1;20200804.0;10.0
